Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0910223286110534, 0.803229212914534, 10.24
0.496162464951812, 0.997884858938378, 11.76
0.575538017535119, 0.941788200537241, 11.96
0.623228168541939, 0.941788200537241, 11.76
0.598190937096253, 0.997237783927859, 11.84
0.593664261482325, 0.86757560503761, 11.6
0.674138874312927, 0.86757560503761, 11.88
0.652925236170287, 0.936452763785344, 11.78
0.576189376311312, 0.936452763785344, 11.44
0.602360452508541, 0.935123162431003, 11.24


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0740686491519056, 0.809452074214634, 9.78
0.360213034141626, 0.817593921519658, 10.78
0.537057658148139, 0.934557699209536, 11.0
0.622461927254664, 0.939162135762268, 11.28
0.606225929625783, 0.939162135762268, 11.74
0.647501523167455, 0.930268438324035, 11.98
0.709688016450087, 0.995916261264888, 12.08
0.620797292245046, 0.926272813758288, 11.92
0.703875353176261, 0.929768138391042, 11.78
0.668382658166836, 0.939459605257867, 11.98


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.100279612098578, 0.973727440244512, 10.44
0.354440111095827, 0.974826689767596, 10.84
0.565760028924842, 0.979609262783741, 11.58
0.676097239777782, 0.980208566798375, 12.22
0.786702621521853, 0.993932190056506, 12.84
0.724607848349307, 0.993932190056506, 12.72
0.782444337066983, 0.984281310717865, 12.8
0.842298591970041, 0.99408395483378, 12.44
0.803187543206935, 0.994102926897291, 12.32
0.798262583932494, 0.995412786534134, 12.08


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0689407399159004, 0.563270366071292, 10.48
0.358410468464192, 0.88637028746568, 11.98
0.459871476212695, 0.961552596952209, 13.06
0.48021749052183, 0.957729714846686, 13.22
0.511615275806062, 0.999933244803252, 13.26
0.542852878832576, 0.999933244803252, 13.52
0.608592522711539, 0.999933244803252, 13.82
0.67664395672077, 0.999933244803252, 14.1
0.678414738884445, 0.999780676556482, 13.88
0.677943491650121, 0.999780676556482, 14.12


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0793740944088903, 0.566996408465064, 10.36
0.326506308358136, 0.567156672336137, 10.9
0.387985414935543, 0.589330319689666, 10.98
0.467587374071213, 0.752262081430164, 10.54
0.476072864298957, 0.77478497033112, 10.64
0.540747838718116, 0.77478497033112, 11.06
0.496660285095365, 0.783967349959839, 10.76
0.554830967989723, 0.837881492153255, 11.18
0.618973443743459, 0.915778381462391, 11.52
0.571458842967539, 0.915778381462391, 11.28


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0834428248702739, 0.775429502507902, 10.34
0.399393850770294, 0.89944375639853, 11.16
0.568499749298809, 0.959823250791429, 11.4
0.662047253035368, 0.959823250791429, 11.64
0.557336697602581, 0.90906046014407, 11.32
0.66448958125229, 0.993022039216234, 11.78
0.650174353366036, 0.993022039216234, 11.78
0.667084807739824, 0.993022039216234, 11.76
0.756777744249558, 0.993022039216234, 12.24
0.750689714903032, 0.993031516086829, 12.08


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0527905763961783, 0.703028788002833, 9.54
0.274146920335195, 0.890554313000477, 10.22
0.495692249035083, 0.966785227184758, 10.66
0.600023801778795, 0.986313969143073, 10.78
0.609575175853384, 0.893617798264119, 10.7
0.625980829085316, 0.976421652025305, 10.62
0.639678000558645, 0.977019200706725, 10.94
0.701949297510361, 0.980189833554291, 11.02
0.750945661587794, 0.98272173799543, 11.66
0.742721202943092, 0.98272173799543, 11.46


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0741078033502616, 0.963533743539524, 10.14
0.577273715144131, 0.988963961235699, 11.6
0.652722128861566, 0.986549474299496, 11.74
0.649160534551559, 0.986540053121633, 11.68
0.785306073501013, 0.991052618451633, 12.06
0.811212832517096, 0.991658219328779, 12.66
0.699518916607336, 0.986248036766883, 12.62
0.772533479779539, 0.991431079980838, 12.64
0.733117754149528, 0.991431079980838, 12.3
0.727424051199447, 0.996229861297263, 12.62


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0520403322918464, 0.767553980960993, 9.92
0.32072273193769, 0.899981388479473, 10.78
0.478199666665884, 0.788013905564431, 10.36
0.557032872643953, 0.836841017309808, 10.3
0.596229510363673, 0.85116749382245, 10.06
0.607920765043164, 0.901370162647449, 10.18
0.68323015116398, 0.999494667561488, 10.88
0.73195975020357, 0.999494667561488, 11.62
0.667480856767014, 0.999494667561488, 11.54
0.631294876026868, 0.999475602913628, 11.26


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0908551117793147, 0.81372769772654, 10.26
0.483799023801582, 0.903596213453101, 12.08
0.565578136423978, 0.953198678294367, 12.78
0.677518539078075, 0.953198678294367, 13.02
0.668159958390777, 0.953244349717352, 13.16
0.631591134958463, 0.953381375803338, 13.08
0.644941725756339, 0.957592126410649, 12.82
0.712920010692077, 0.998608507579712, 13.4
0.750004212312869, 0.998608507579712, 13.2
0.822907426392699, 0.998570409037583, 13.1


